Data;Dia da Semana;Feriado;Tipo
01/01/2026;quinta-feira;Confraternização Universal;Nacional
17/02/2026;terça-feira;Carnaval;Nacional
03/04/2026;sexta-feira;Paixão de Cristo;Nacional
21/04/2026;terça-feira;Tiradentes;Nacional
07/09/2026;segunda-feira;Independência;Nacional
02/11/2026;segunda-feira;Finados;Nacional
15/11/2026;domingo;Proclamação da República;Nacional
25/12/2026;sexta-feira;Natal;Nacional
